image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.77512,van,car,False
drive_022,2,5,0.840859,truck,bus,False
drive_022,3,1,0.915925,car,car,True
drive_022,4,3,0.761331,car,car,True
drive_022,5,2,0.908926,bus,van,False
drive_033,1,1,0.972019,bus,van,False
drive_033,2,12,0.929666,bus,van,False
drive_033,3,11,0.898173,car,car,True
drive_033,4,8,0.873865,car,car,True
drive_033,5,10,0.798508,car,car,True
drive_033,6,6,0.842179,car,car,True
drive_033,9,7,0.889568,car,car,True
drive_033,10,3,0.827054,car,car,True
drive_033,11,4,0.763898,car,car,True
drive_033,12,5,0.854828,car,car,True
drive_033,14,9,0.866803,car,car,True
drive_033,21,2,0.861259,truck,bus,False
drive_038,1,1,0.964307,car,car,True
drive_038,2,2,0.921464,car,car,True
drive_038,3,3,0.942059,car,car,True
drive_038,4,4,0.929662,car,car,True
drive_038,5,5,0.917298,truck,bus,False
drive_038,6,17,0.939742,car,car,True
drive_038,7,16,0.832806,car,car,True
drive_038,8,15,0.90517,van,truck,False
drive_038,9,9,0.891403,truck,bus,False
drive_038,10,14,0.819351,car,car,True
drive_038,11,13,0.884343,car,car,True
drive_038,12,10,0.853776,car,car,True
drive_038,13,8,0.919062,car,car,True
drive_038,14,7,0.848878,car,car,True
drive_038,15,11,0.910415,car,car,True
drive_038,16,6,0.862886,car,car,True
drive_038,17,12,0.714036,car,car,True
drive_008,2,16,0.925252,car,car,True
drive_008,3,11,0.921886,car,car,True
drive_008,4,4,0.96065,car,car,True
drive_008,5,6,0.867628,car,car,True
drive_008,6,2,0.915923,car,car,True
drive_008,9,7,0.872285,car,car,True
drive_008,10,13,0.659561,car,car,True
drive_008,11,14,0.816129,car,car,True
drive_008,12,15,0.344299,car,car,True
drive_008,23,9,0.960061,bus,van,False
drive_008,25,1,0.827031,truck,bus,False
drive_008,26,5,0.819075,van,truck,False
drive_008,27,3,0.924548,van,truck,False
drive_008,28,12,0.893313,van,truck,False
